ID,Plant,Source,Inoc,Rep,g_180317,g_180511,g_180516,g_180523,g_180530,g_180605,harvested_extra,surv_180619,surv_180626,surv_180713,Harvest,blw.wet,blw.sub,abv,blw.dry,newGerm,Notes
140,POSE,BARE,Sterile,4,0,0,0,0,5,5,4,1,1,1,14-Aug-18,1.47,1.26,0.0559,0.1913,,
141,HECO,ARTR,Live,4,0,1,1,1,1,1,,1,1,1,14-Aug-18,5.06,4.89,1.0024,1.1236,,
142,HECO,POSE,Live,4,0,0,0,0,0,0,,0,0,0,,,,,,,
143,HECO,HECO,Live,4,0,0,1,1,1,1,,1,1,1,14-Aug-18,5.22,5.17,0.4358,0.6952,,
144,HECO,PSSP,Live,4,0,0,0,0,0,0,,0,0,0,,,,,,,
145,HECO,BARE,Live,4,0,0,0,0,0,0,,1,1,1,,,,,,,
146,HECO,ARTR,Sterile,4,0,0,0,0,0,0,,1,1,1,,,,,,,
147,HECO,POSE,Sterile,4,0,0,0,0,0,0,,1,1,1,,,,,,,
148,HECO,HECO,Sterile,4,0,0,0,0,0,0,,1,1,1,,,,,,,
149,HECO,PSSP,Sterile,4,0,0,0,0,0,0,,1,1,1,,,,,,,
150,HECO,BARE,Sterile,4,0,0,1,2,2,2,1,1,1,1,14-Aug-18,5.21,5.17,0.3816,1.1365,,
151,PSSP,ARTR,Live,4,0,1,3,5,5,6,5,1,1,1,14-Aug-18,3.56,3.47,0.2419,0.7073,,
152,PSSP,POSE,Live,4,0,0,1,1,3,3,2,1,1,1,14-Aug-18,4.97,4.92,0.2596,0.8785,,
153,PSSP,HECO,Live,4,0,1,4,5,4,6,5,1,1,1,14-Aug-18,3.19,3.05,0.2068,0.5061,,soil wet all germinants look dry 180608
154,PSSP,PSSP,Live,4,0,1,1,2,2,2,1,1,1,1,14-Aug-18,3.73,3.59,0.3921,0.6995,,
155,PSSP,BARE,Live,4,0,1,2,2,2,3,2,1,1,1,14-Aug-18,2.9,2.79,0.1683,0.3666,,
156,PSSP,ARTR,Sterile,4,0,3,4,7,7,7,6,1,1,1,14-Aug-18,4.43,4.33,0.1537,0.8829,,
157,PSSP,POSE,Sterile,4,0,0,7,7,7,7,6,1,1,1,14-Aug-18,1.8,1.77,0.0722,0.2382,,
158,PSSP,HECO,Sterile,4,0,3,5,5,5,5,4,1,1,1,14-Aug-18,3.44,3.24,0.1251,0.4154,,
159,PSSP,PSSP,Sterile,4,0,0,2,3,4,4,3,1,1,1,14-Aug-18,3.82,3.7,0.219,0.6421,,
160,PSSP,BARE,Sterile,4,0,1,5,6,5,6,5,1,1,1,14-Aug-18,4.39,4.34,0.1655,0.8089,,soil wet all germinants look dry 180608
161,ARTR,ARTR,Live,5,3,2,0,0,0,0,,0,0,0,,,,,,,not great 180511
162,ARTR,POSE,Live,5,2,4,3,3,3,4,3,1,1,1,14-Aug-18,1.41,1.25,0.1202,0.167,,
163,ARTR,HECO,Live,5,1,2,1,2,2,2,1,1,1,1,14-Aug-18,1.54,1.43,0.1517,0.163,,
164,ARTR,PSSP,Live,5,1,3,3,3,4,4,3,1,1,1,14-Aug-18,1.33,1.18,0.0976,0.1439,,
165,ARTR,BARE,Live,5,0,4,4,4,4,4,3,1,1,1,14-Aug-18,1.14,1.01,0.121,0.1486,,
166,ARTR,ARTR,Sterile,5,0,2,0,0,0,0,,1,1,1,,,,,,,
167,ARTR,POSE,Sterile,5,2,5,4,4,3,4,3,1,1,1,14-Aug-18,0.46,0.35,0.0471,0.0552,,pulled grass 180608
168,ARTR,HECO,Sterile,5,1,3,3,5,5,5,4,1,1,1,14-Aug-18,1.58,1.41,0.1324,0.1554,,
169,ARTR,PSSP,Sterile,5,2,3,2,2,2,2,1,1,1,1,14-Aug-18,1.94,1.82,0.1836,0.2624,,
170,ARTR,BARE,Sterile,5,1,3,3,4,4,4,3,1,1,1,14-Aug-18,0.16,0.1,0.0353,0.0204,,
171,POSE,ARTR,Live,5,0,1,1,1,2,2,1,1,1,1,23-Jul-18,1.6,1.52,0.1048,0.1909,,
172,POSE,POSE,Live,5,0,0,0,0,2,2,1,1,1,1,14-Aug-18,0.21,0.08,0.0071,0.0123,,180713 leaf nibbled
173,POSE,HECO,Live,5,0,3,6,8,6,7,6,1,1,1,23-Jul-18,1.46,1.45,0.1067,0.1588,,
174,POSE,PSSP,Live,5,0,0,3,5,6,6,5,1,1,1,23-Jul-18,0.66,0.58,0.0701,0.0909,,
175,POSE,BARE,Live,5,0,1,6,6,6,5,4,1,1,0,14-Aug-18,0.73,0.61,0.0136,0.0763,,180713 either old plant diedd or there was herbivory
176,POSE,ARTR,Sterile,5,0,0,3,6,6,6,5,1,1,1,14-Aug-18,1.43,1.36,0.0203,0.1678,,
177,POSE,POSE,Sterile,5,0,1,4,5,7,7,6,1,1,1,23-Jul-18,0.67,0.63,0.0379,0.0966,,180713 leaf nibbled
178,POSE,HECO,Sterile,5,0,1,0,4,5,6,5,1,1,1,14-Aug-18,1.43,1.22,0.0838,0.175,,
179,POSE,PSSP,Sterile,5,0,0,0,3,4,4,3,1,1,1,14-Aug-18,1.4,1.2,0.0672,0.1643,,180713 leaf nibbled; pretty chomped up at harvest
180,POSE,BARE,Sterile,5,0,0,4,4,6,6,5,1,1,1,14-Aug-18,1.03,0.97,0.0317,0.1033,,180713 leaf nibbled
181,HECO,ARTR,Live,5,0,0,1,3,3,3,2,1,1,1,14-Aug-18,1.71,1.54,0.1071,0.2465,,
182,HECO,POSE,Live,5,0,0,0,0,0,0,,0,0,0,14-Aug-18,0.04,,0.0082,0.0026,,
183,HECO,HECO,Live,5,0,0,0,0,0,0,,0,0,0,,,,,,,
184,HECO,PSSP,Live,5,0,2,2,3,3,3,2,1,1,1,14-Aug-18,2.38,2.12,0.2207,0.3224,,
185,HECO,BARE,Live,5,0,1,2,4,3,4,3,1,1,1,14-Aug-18,2.9,2.69,0.2688,0.3488,,
186,HECO,ARTR,Sterile,5,0,0,0,0,0,0,,0,0,0,,,,,,,
187,HECO,POSE,Sterile,5,0,0,1,3,4,4,3,1,1,1,14-Aug-18,2.1,2.01,0.1941,0.3522,,
188,HECO,HECO,Sterile,5,0,0,1,2,2,2,1,1,1,1,14-Aug-18,2.47,2.23,0.2,0.301,,
189,HECO,PSSP,Sterile,5,0,0,0,0,0,0,,0,0,0,,,,,,,
190,HECO,BARE,Sterile,5,0,0,1,1,1,1,,1,1,1,14-Aug-18,3.7,3.49,0.2129,0.5268,,
191,PSSP,ARTR,Live,5,0,0,1,2,2,2,1,1,1,1,14-Aug-18,2.76,2.54,0.2977,0.4236,,
192,PSSP,POSE,Live,5,0,0,3,3,3,3,2,1,1,1,14-Aug-18,2.41,2.16,0.1473,0.4289,,
